brad_date,prod_id,ch_no,ch_nm,bom_st_dt,bom_fns_dt,bom_prod_nm,대분류,중분류,소분류,브랜드,세분류,productImgUrl,mUrl,originPrice,price
2024-01-30,2291706639460,30,쇼핑엔티,2024-01-30 18:31:00,2024-01-30 19:29:58,라이나생명(무)THE건강한치아보험V(신세계상품권 증정),여행/보험/렌탈/티켓,보험,보험/상조,라이나생명,보험,http://img.shoppingntmall.com/goods/420/11521420_h.jpg,http://m.shoppingntmall.com/display/goods/11521420?mediaCode=TV02A,-1,0
2024-01-30,3261706639700,20,신세계쇼핑,2024-01-30 18:35:00,2024-01-30 19:35:18,[국민5%할인]해화당 뼈없는 갈비탕 900g x 6팩(총5.4kg),식품/건강,축산물,축산가공식품,해화당,갈비탕,http://img.shinsegaetvshopping.com/goods/931/20042931_g_20231201081841.jpg,http://m.shinsegaetvshopping.com/display/detail/20042931?inMediaCode=MC02,49900,49900
2024-01-30,3081706639700,2,NS홈쇼핑,2024-01-30 18:35:00,2024-01-30 18:54:58,하나손해보험 건강하면 더 좋은 하나의 보험+(상담완료시)스탠냄비 5종,여행/보험/렌탈/티켓,보험,보험/상조,하나손해보험,보험,http://product-image.prod-nsmall.com/itemimg4/33/864/33844864_S.jpg,http://mw.nsmall.com/gate.html?co_cd=181&target=/product/33844864,0,1
2024-01-30,3101706639700,8,GS SHOP,2024-01-30 18:35:00,2024-01-30 19:34:58,설맞이 1만원 SALE [가격인하] 김신영 가시제거 시래기 코다리 400g*6팩(무료배송),식품/건강,가공식품,반찬,없음,가시제거,https://asset.m-gs.kr/prod/1042661733/1/550,https://m.gsshop.com/alia/aliaGate.gs?media=LLG&gourl=/prd/prd.gs?prdid=1042661733,59900,59900
2024-01-30,2311706639880,28,GS MY SHOP,2024-01-30 18:38:00,2024-01-30 19:37:58,김나운더키친 손질새우 13팩 (팩당 20마리 총 260마리),식품/건강,수산물,해산물/어패류,김나운더키친,손질새우,https://asset.m-gs.kr/prod/1015748711/1/550,https://m.gsshop.com/alia/aliaGate.gs?media=LLH&gourl=/prd/prd.gs?prdid=1015748711,60900,59900
2024-01-30,3951706639940,12,KT알파 쇼핑,2024-01-30 18:39:00,2024-01-30 19:38:58,뉴트리원루테인지아잔틴164(21개월분),식품/건강,건강식품,루테인,뉴트리원,루테인지아잔틴,http://imgs.kshop.co.kr//d2/product/emc/202210/12/53/142/1253142_550_20221013170638.png,http://m.kshop.co.kr/display/mc/product/2555139?with_code=000004&utm_source=hsmoa_ep&utm_medium=cps&utm_campaign=prd_01_%EC%8B%9D%ED%92%88%2F%EA%B1%B4%EA%B0%95_2555139&utm_content=mo_schedule,278000,272000
2024-01-30,7191706640000,22,공영쇼핑,2024-01-30 18:40:00,2024-01-30 19:39:58,[자연향] 제주 대왕특대 사이즈 은갈치 550g × 3마리 분량(팩당 4토막/총 12토막),식품/건강,수산물,생선,제주 대왕특대,은갈치,"https://img.publichs.com/ECMCFO/share/product/85/09/79/16984314.jpg/dims/resize/Q_80,435",https://m.gongyoungshop.kr/gate/selectAliance.do?alcLnkCd=kt&tgUrl=/goods/selectGoodsDetail.do?prdId=11790985,80900,80900
2024-01-30,2571706640000,36,현대홈쇼핑+샵,2024-01-30 18:40:00,2024-01-30 19:39:58,삼성 Crystal UHD TV 58형 [KU58UC7000FXKR] (사은품 : 삼성 사운드바),가전/디지털,영상/음향가전,TV,삼성,TV,http://image.hyundaihmall.com/static/2/5/00/02/2202005230_0.png,http://m.hyundaihmall.com/front/smItemDetailR.do?pReferCode=dm1&ItemCode=2202005230&utm_source=homemoadata&utm_medium=cps_main&utm_campaign=sale,1190000,1150000
2024-01-30,3621706640000,14,홈&쇼핑,2024-01-30 18:40:00,2024-01-30 19:34:58,"[홍진경] 더전세트 (6종, 총 8봉)",식품/건강,농산물,채소,홍진경,더전세트,http://image.hnsmall.com/images/goods/320/42085320_g.jpg,http://m.hnsmall.com/goods/view/42085320?channel_code=21363&utm_source=OllehPortal&utm_medium=AF&utm_campaign=TV_None_42085320,63900,63900
2024-01-30,3041706640000,10,현대홈쇼핑,2024-01-30 18:40:00,2024-01-30 19:44:58,[100% 제주직송] 제주家마당 프리미엄 대왕특대 은갈치 선물세트 550g 3미,식품/건강,수산물,수산가공식품,제주家마당,은갈치,https://image.hmall.com/static/4/0/15/47/2147150454_0.jpg?RS=300X300,https://www.hmall.com/md/pda/itemPtc?slitmCd=2147150454&ReferCode=m09&TcCode=0000001389,109900,109900
